time   Resistance(Ohm);  Temperature('C);  Temperature(K);
11:43:54    47.8176;  9.97008;  283.12;
11:43:58    47.8202;  9.98442;  283.134;
11:44:01    47.8186;  9.9756;  283.126;
11:44:05    47.8169;  9.96642;  283.116;
11:44:08    47.8202;  9.98422;  283.134;
11:44:11    47.8177;  9.97086;  283.121;
11:44:15    47.82;  9.98313;  283.133;
11:44:18    47.8183;  9.97376;  283.124;
11:44:22    47.82;  9.98326;  283.133;
11:44:25    47.819;  9.97754;  283.128;
11:44:29    47.8178;  9.9712;  283.121;
11:44:32    47.8176;  9.97004;  283.12;
11:44:36    47.8177;  9.9707;  283.121;
11:44:39    47.819;  9.97748;  283.127;
11:44:42    47.8176;  9.96996;  283.12;
11:44:46    47.8175;  9.96941;  283.119;
11:44:49    47.8193;  9.97918;  283.129;
11:44:53    47.8184;  9.97434;  283.124;
11:44:56    47.8177;  9.97037;  283.12;
11:44:59    47.8194;  9.98014;  283.13;
11:45:03    47.8184;  9.97451;  283.125;
11:45:06    47.8178;  9.97104;  283.121;
11:45:10    47.8183;  9.97399;  283.124;
11:45:13    47.8179;  9.97177;  283.122;
11:45:17    47.8171;  9.96705;  283.117;
11:45:20    47.8171;  9.96706;  283.117;
11:45:23    47.8187;  9.97587;  283.126;
11:45:27    47.8188;  9.97675;  283.127;
11:45:30    47.8174;  9.96901;  283.119;
11:45:34    47.8161;  9.96159;  283.112;
11:45:37    47.8168;  9.96559;  283.116;
11:45:40    47.8146;  9.95359;  283.104;
11:45:44    47.8174;  9.96911;  283.119;
11:45:47    47.816;  9.96117;  283.111;
11:45:51    47.8165;  9.96419;  283.114;
11:45:54    47.8184;  9.97453;  283.125;
11:45:58    47.8189;  9.97724;  283.127;
11:46:01    47.817;  9.96696;  283.117;
11:46:05    47.8162;  9.96246;  283.112;
11:46:08    47.8168;  9.96567;  283.116;
11:46:11    47.8157;  9.95957;  283.11;
11:46:15    47.816;  9.96098;  283.111;
11:46:18    47.8167;  9.96534;  283.115;
11:46:22    47.8175;  9.96934;  283.119;
11:46:25    47.8152;  9.95689;  283.107;
11:46:28    47.8175;  9.96968;  283.12;
11:46:32    47.8152;  9.95665;  283.107;
11:46:35    47.816;  9.96109;  283.111;
11:46:39    47.8184;  9.97466;  283.125;
11:46:42    47.8165;  9.96403;  283.114;
