time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:43:23    44.1813;  -9.94558;  263.204;
12:43:27    44.1815;  -9.94445;  263.206;
12:43:30    44.1804;  -9.9505;  263.199;
12:43:34    44.1822;  -9.94085;  263.209;
12:43:37    44.182;  -9.94184;  263.208;
12:43:41    44.1808;  -9.94848;  263.202;
12:43:44    44.1798;  -9.95389;  263.196;
12:43:48    44.1829;  -9.93655;  263.213;
12:43:51    44.1815;  -9.94431;  263.206;
12:43:54    44.1795;  -9.95514;  263.195;
12:43:58    44.1803;  -9.95077;  263.199;
12:44:01    44.18;  -9.95266;  263.197;
12:44:05    44.1815;  -9.94456;  263.205;
12:44:08    44.1803;  -9.95101;  263.199;
12:44:11    44.181;  -9.94725;  263.203;
12:44:15    44.1802;  -9.95128;  263.199;
12:44:18    44.1819;  -9.94233;  263.208;
12:44:22    44.1806;  -9.9492;  263.201;
12:44:25    44.1818;  -9.94259;  263.207;
12:44:29    44.1816;  -9.94379;  263.206;
12:44:32    44.182;  -9.94189;  263.208;
12:44:35    44.1805;  -9.94974;  263.2;
12:44:39    44.1804;  -9.95035;  263.2;
12:44:42    44.1815;  -9.94461;  263.205;
12:44:46    44.1794;  -9.95581;  263.194;
12:44:49    44.1816;  -9.94401;  263.206;
12:44:52    44.1811;  -9.94636;  263.204;
12:44:56    44.1814;  -9.945;  263.205;
12:44:59    44.1814;  -9.94478;  263.205;
12:45:03    44.1836;  -9.93314;  263.217;
12:45:06    44.1795;  -9.95556;  263.194;
12:45:09    44.1795;  -9.95558;  263.194;
12:45:13    44.1805;  -9.94993;  263.2;
12:45:16    44.1806;  -9.94932;  263.201;
12:45:20    44.1808;  -9.94836;  263.202;
12:45:23    44.181;  -9.94718;  263.203;
12:45:27    44.181;  -9.94742;  263.203;
12:45:30    44.1819;  -9.94226;  263.208;
12:45:34    44.1804;  -9.95033;  263.2;
12:45:37    44.1805;  -9.94977;  263.2;
12:45:40    44.1806;  -9.94918;  263.201;
12:45:44    44.182;  -9.94192;  263.208;
12:45:47    44.1824;  -9.93978;  263.21;
12:45:51    44.1798;  -9.9537;  263.196;
12:45:54    44.1796;  -9.95464;  263.195;
